Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,Sharks,per shark,Details / Notes
196,4,10,Ruck Pack Combat Nutrition,Yes,Fashion / Beauty,Male,"1,50,000",20%,"7,50,000",,,,1,,1,,,2,"75,000",
197,4,10,Nearly Newlywed,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
198,4,10,Tie Try,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
199,4,10,Corks Away,No,Food and Beverage,Male,,,,,,,,,,,,0,,
200,4,11,The Living Christmas Company,Yes,Lifestyle / Home,Male,"1,50,000",40%,"3,75,000",,1,,,,,,,1,"1,50,000",
201,4,11,The Coop,Yes,Children / Education,Female,"1,50,000",15%,"10,00,000",1,,,,,,,,1,"1,50,000",plus personal guarantee she will get her investment back within 2 years
202,4,11,Partie Poche,No,Fashion / Beauty,Mixed Team,,,,,,,,,,,,0,,
203,4,11,Fat Ass Fudge,No,Food and Beverage,Female,,,,,,,,,,,,0,,
204,4,12,Hot Tot,Yes,Children / Education,Female,"75,000",40%,"1,87,500",,1,,,,,,,1,"75,000",
205,4,12,The GameFace Company,Yes,Fashion / Beauty,Male,"4,50,000",35%,"12,85,714",,1,1,,,,,,2,"2,25,000",
206,4,12,Dura Tent,No,Food and Beverage,Male,,,,,,,,,,,,0,,
207,4,12,ARKEG,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
208,4,13,Coffee Joulies,Yes,Food and Beverage,Male,"1,50,000",n/a,n/a,,,1,1,1,1,,,4,"37,500","plus royalty fee of 6 per Coffee Joulies sold retail, and 3 per wholesale. The royalty drops to 1 per unit sold after Sharks recoup their investment."
209,4,13,Teddy Needs,Yes,Children / Education,Female,"1,00,000",30%,"3,33,333",,1,,,,,,,1,"1,00,000",plus 10% royalty until he gets his investment paid back in full
210,4,13,Urbio,Yes,Lifestyle / Home,Male,"3,00,000",15%,"20,00,000",,,1,,,,,,1,"3,00,000",
211,4,13,Sub Zero Ice Cream,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
212,4,14,Sound Bender,Yes,Software / Tech,Male,"54,000",40%,"1,35,000",,,,,1,,,,1,"54,000",
213,4,14,Bibitec Bibs,No,Children / Education,Mixed Team,,,,,,,,,,,,0,,
214,4,14,Cuddle Story Telling Bear,No,Children / Education,Male,,,,,,,,,,,,0,,
215,4,14,Invisible Xero Shoes,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0,,
216,4,15,Hoodie Pillow,Yes,Lifestyle / Home,Mixed Team,"90,000",20%,"4,50,000",,,,1,,,,,1,"90,000",
217,4,15,Get Grinds,Yes,Food and Beverage,Male,"75,000",15%,"5,00,000",,,,1,1,,,,2,"37,500",
218,4,15,Green Garmento,No,Fashion / Beauty,Female,,,,,,,,,,,,0,,
